,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
751,0.0,0.00,0.0000,0.2058,0.1019,1.121,2.716,5.743,835.618,0.307,25.545,3.117,0.62,121046.,26000
752,4.5,0.03,0.0603,0.2047,0.1043,1.147,2.780,5.713,855.080,0.314,25.411,3.030,0.62,121056.,26000
753,9.1,0.06,0.1174,0.2026,0.1060,1.166,2.825,5.653,869.121,0.319,25.144,2.950,0.62,121087.,26000
754,13.6,0.09,0.1714,0.1998,0.1074,1.181,2.862,5.575,880.346,0.323,24.798,2.872,0.62,121139.,26000
755,18.2,0.12,0.2226,0.1964,0.1084,1.192,2.889,5.482,888.859,0.326,24.386,2.798,0.62,121211.,26000
756,22.7,0.15,0.2711,0.1927,0.1092,1.200,2.910,5.377,895.056,0.329,23.919,2.725,0.62,121303.,26000
757,27.2,0.18,0.3168,0.1885,0.1096,1.205,2.922,5.260,898.832,0.330,23.396,2.654,0.62,121416.,26000
758,31.8,0.22,0.3600,0.1839,0.1098,1.207,2.927,5.132,900.403,0.331,22.826,2.585,0.62,121549.,26000
759,36.3,0.25,0.4007,0.1788,0.1096,1.205,2.922,4.989,898.852,0.330,22.192,2.518,0.62,121703.,26000
760,40.8,0.28,0.4390,0.1732,0.1091,1.199,2.907,4.834,894.307,0.328,21.503,2.452,0.62,121877.,26000
761,45.4,0.31,0.4753,0.1672,0.1080,1.188,2.879,4.666,885.706,0.325,20.753,2.389,0.62,122070.,26000
762,49.9,0.34,0.5102,0.1604,0.1062,1.168,2.831,4.476,870.945,0.320,19.911,2.331,0.62,122284.,26000
763,54.5,0.37,0.5430,0.1533,0.1041,1.144,2.773,4.279,853.162,0.313,19.032,2.275,0.62,122518.,26000
764,59.0,0.40,0.5739,0.1460,0.1016,1.117,2.708,4.075,833.022,0.306,18.128,2.219,0.62,122772.,26000
765,63.5,0.43,0.6027,0.1385,0.0988,1.087,2.634,3.866,810.378,0.298,17.198,2.164,0.62,123046.,26000
766,68.1,0.46,0.6294,0.1309,0.0958,1.053,2.553,3.652,785.438,0.288,16.245,2.109,0.63,123339.,26000
767,72.6,0.49,0.6532,0.1230,0.0925,1.017,2.466,3.432,758.619,0.279,15.266,2.052,0.63,123651.,26000
768,77.1,0.52,0.6736,0.1148,0.0890,0.979,2.373,3.205,729.921,0.268,14.257,1.992,0.63,123983.,26000
769,81.7,0.55,0.6914,0.1065,0.0852,0.936,2.270,2.973,698.305,0.256,13.222,1.931,0.63,124334.,26000
770,86.2,0.58,0.7064,0.0980,0.0810,0.890,2.158,2.736,663.970,0.244,12.168,1.869,0.63,124704.,26000
771,90.8,0.61,0.7182,0.0893,0.0764,0.840,2.036,2.492,626.207,0.230,11.084,1.805,0.63,125093.,26000
772,95.3,0.65,0.7262,0.0803,0.0713,0.784,1.901,2.242,584.937,0.215,9.972,1.738,0.63,125501.,26000
773,99.8,0.68,0.7296,0.0712,0.0659,0.725,1.756,1.986,540.315,0.198,8.833,1.667,0.63,125926.,26000
774,104.4,0.71,0.7268,0.0618,0.0601,0.660,1.601,1.725,492.464,0.181,7.671,1.588,0.63,126371.,26000
775,108.9,0.74,0.7150,0.0522,0.0538,0.591,1.434,1.456,441.011,0.162,6.476,1.497,0.64,126833.,26000
776,113.4,0.77,0.6890,0.0423,0.0472,0.518,1.257,1.181,386.559,0.142,5.251,1.385,0.64,127313.,26000
777,118.0,0.80,0.6386,0.0321,0.0401,0.441,1.070,0.896,329.140,0.121,3.985,1.235,0.64,127811.,26000
778,122.5,0.83,0.5431,0.0217,0.0331,0.364,0.882,0.605,271.184,0.100,2.689,1.011,0.64,128326.,26000
779,127.1,0.86,0.3660,0.0110,0.0258,0.283,0.686,0.306,211.148,0.078,1.361,0.657,0.64,128859.,26000
780,131.6,0.89,-0.0015,0.0000,0.0183,0.201,0.487,-0.001,149.678,0.055,-0.004,-0.003,0.64,129408.,26000
781,0.0,0.00,0.0000,0.2070,0.1034,1.273,2.972,6.230,949.295,0.336,27.710,2.977,0.64,125702.,27000
782,4.7,0.03,0.0598,0.2063,0.1059,1.304,3.043,6.210,972.147,0.344,27.623,2.897,0.64,125712.,27000
783,9.4,0.06,0.1165,0.2046,0.1078,1.328,3.099,6.157,989.959,0.350,27.384,2.821,0.64,125744.,27000
784,14.1,0.09,0.1703,0.2018,0.1092,1.344,3.137,6.073,1002.281,0.354,27.014,2.748,0.64,125798.,27000
785,18.8,0.12,0.2212,0.1984,0.1102,1.357,3.167,5.973,1011.576,0.358,26.566,2.678,0.64,125872.,27000
786,23.6,0.15,0.2694,0.1946,0.1109,1.366,3.188,5.858,1018.339,0.360,26.057,2.609,0.64,125968.,27000
787,28.3,0.18,0.3150,0.1904,0.1113,1.371,3.200,5.730,1022.244,0.362,25.486,2.542,0.64,126085.,27000
788,33.0,0.21,0.3581,0.1857,0.1114,1.372,3.203,5.588,1023.075,0.362,24.855,2.477,0.64,126224.,27000
789,37.7,0.25,0.3996,0.1805,0.1110,1.366,3.189,5.433,1018.673,0.360,24.165,2.419,0.64,126383.,27000
790,42.4,0.28,0.4380,0.1749,0.1104,1.359,3.172,5.264,1013.174,0.358,23.412,2.356,0.65,126563.,27000
791,47.1,0.31,0.4743,0.1688,0.1093,1.345,3.140,5.079,1003.086,0.355,22.593,2.297,0.65,126765.,27000
792,51.8,0.34,0.5093,0.1620,0.1074,1.323,3.088,4.876,986.392,0.349,21.688,2.242,0.65,126987.,27000
793,56.5,0.37,0.5422,0.1548,0.1052,1.295,3.023,4.659,965.841,0.342,20.724,2.188,0.65,127230.,27000
794,61.2,0.40,0.5731,0.1474,0.1027,1.264,2.951,4.437,942.738,0.333,19.737,2.135,0.65,127493.,27000
