,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
186,2.45872,0.17,0.3334,0.105,0.0525,3.73,0.004632378166666653,0.453718644,116.66666666666667,5x3E
187,2.861056,0.19,0.3798,0.1026,0.0525,3.73,0.004632378166666653,0.44482220000000006,116.66666666666667,5x3E
188,3.308096,0.22,0.4234,0.0998,0.0524,3.73,0.004632378166666653,0.43147753400000005,116.66666666666667,5x3E
189,3.7104320000000004,0.25,0.464,0.0969,0.0522,3.73,0.004632378166666653,0.42258109000000005,116.66666666666667,5x3E
190,4.112768,0.28,0.5016,0.0937,0.0519,2.984,0.00451939333333332,0.40478820200000004,116.66666666666667,5x3E
191,4.515104,0.31,0.5361,0.0903,0.0515,2.984,0.00451939333333332,0.391443536,116.66666666666667,5x3E
192,4.9621439999999994,0.33,0.5675,0.0868,0.051,2.984,0.00451939333333332,0.37809887000000003,116.66666666666667,5x3E
193,5.36448,0.36,0.5958,0.0829,0.0503,2.984,0.004406408499999987,0.360305982,116.66666666666667,5x3E
194,5.766816,0.39,0.6211,0.0786,0.0493,2.984,0.004293423666666654,0.342513094,116.66666666666667,5x3E
195,6.169152,0.42,0.6432,0.0742,0.0481,2.984,0.004180438833333321,0.320271984,116.66666666666667,5x3E
196,6.5714879999999996,0.44,0.6624,0.0696,0.0467,2.984,0.004067453999999988,0.30247909600000006,116.66666666666667,5x3E
197,7.018528,0.47,0.6787,0.065,0.0452,2.984,0.003954469166666656,0.28023798600000005,116.66666666666667,5x3E
198,7.420864000000001,0.5,0.6924,0.0602,0.0435,2.984,0.0038414843333333224,0.262445098,116.66666666666667,5x3E
199,7.8232,0.53,0.704,0.0554,0.0415,2.984,0.003615514666666656,0.240203988,116.66666666666667,5x3E
200,8.225536,0.56,0.7136,0.0504,0.0393,2.238,0.00338954499999999,0.21796287800000003,116.66666666666667,5x3E
201,8.627872,0.58,0.7207,0.0453,0.0367,2.238,0.003163575333333324,0.195721768,116.66666666666667,5x3E
202,9.074912,0.61,0.7248,0.04,0.0337,2.238,0.002937605666666658,0.173480658,116.66666666666667,5x3E
203,9.477248,0.64,0.7265,0.0346,0.0304,2.238,0.002711635999999992,0.15123954800000003,116.66666666666667,5x3E
204,9.879584000000001,0.67,0.7227,0.0291,0.0268,1.492,0.0023726814999999934,0.124550216,116.66666666666667,5x3E
205,10.28192,0.7,0.7085,0.0234,0.023,1.492,0.002033726999999994,0.10230910600000001,116.66666666666667,5x3E
206,10.72896,0.72,0.6774,0.0177,0.0189,1.492,0.001694772499999995,0.07561977400000001,116.66666666666667,5x3E
207,11.131295999999999,0.75,0.6141,0.0118,0.0145,0.746,0.001242833166666663,0.053378664000000006,116.66666666666667,5x3E
208,11.533632,0.78,0.4652,0.0059,0.0099,0.746,0.000903878666666664,0.026689332000000003,116.66666666666667,5x3E
209,11.935967999999999,0.81,-0.0012,0.0,0.0063,0.746,0.000564924166666665,0.0,116.66666666666667,5x3E
210,0.0,0.0,0.0,0.1144,0.0505,5.222,0.005762226499999983,0.649440412,133.33333333333334,5x3E
211,0.491744,0.03,0.0618,0.1134,0.051,5.222,0.005875211333333316,0.64499219,133.33333333333334,5x3E
212,0.9387840000000001,0.06,0.1212,0.1122,0.0515,5.222,0.005875211333333316,0.636095746,133.33333333333334,5x3E
213,1.430528,0.08,0.1781,0.1108,0.0519,5.222,0.0059881961666666495,0.627199302,133.33333333333334,5x3E
214,1.8775680000000001,0.11,0.2325,0.1092,0.0522,5.222,0.0059881961666666495,0.6183028580000001,133.33333333333334,5x3E
215,2.369312,0.14,0.2843,0.1073,0.0525,5.222,0.0059881961666666495,0.6094064140000001,133.33333333333334,5x3E
216,2.8163519999999997,0.17,0.3335,0.1051,0.0526,5.222,0.0059881961666666495,0.5960617480000001,133.33333333333334,5x3E
217,3.308096,0.19,0.3799,0.1027,0.0526,5.222,0.0059881961666666495,0.582717082,133.33333333333334,5x3E
218,3.7551360000000003,0.22,0.4234,0.0999,0.0525,5.222,0.0059881961666666495,0.564924194,133.33333333333334,5x3E
219,4.24688,0.25,0.4641,0.097,0.0523,5.222,0.0059881961666666495,0.551579528,133.33333333333334,5x3E
220,4.69392,0.28,0.5016,0.0938,0.052,5.222,0.0059881961666666495,0.53378664,133.33333333333334,5x3E
221,5.185664,0.31,0.5362,0.0904,0.0516,5.222,0.005875211333333316,0.51154553,133.33333333333334,5x3E
222,5.6327039999999995,0.33,0.5676,0.0868,0.0511,5.222,0.005875211333333316,0.493752642,133.33333333333334,5x3E
223,6.124447999999999,0.36,0.596,0.0829,0.0503,4.476,0.005762226499999983,0.471511532,133.33333333333334,5x3E
224,6.5714879999999996,0.39,0.6212,0.0787,0.0493,4.476,0.005649241666666651,0.44482220000000006,133.33333333333334,5x3E
225,7.063232,0.42,0.6433,0.0742,0.0481,4.476,0.005536256833333318,0.42258109000000005,133.33333333333334,5x3E
226,7.554975999999999,0.44,0.6625,0.0697,0.0468,4.476,0.005310287166666651,0.39589175800000004,133.33333333333334,5x3E
227,8.002016,0.47,0.6788,0.065,0.0453,4.476,0.005197302333333318,0.36920242600000003,133.33333333333334,5x3E
228,8.49376,0.5,0.6925,0.0603,0.0436,4.476,0.004971332666666652,0.342513094,133.33333333333334,5x3E
229,8.9408,0.53,0.7042,0.0554,0.0416,3.73,0.004745362999999987,0.315823762,133.33333333333334,5x3E
230,9.432544,0.56,0.7138,0.0504,0.0393,3.73,0.00451939333333332,0.28468620800000005,133.33333333333334,5x3E
231,9.879584000000001,0.58,0.7208,0.0453,0.0367,3.73,0.004180438833333321,0.25799687600000004,133.33333333333334,5x3E
