,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
376,26.8,0.24,0.4998,0.0412,0.0200,0.209,1.011,1.456,155.505,0.114,6.477,4.247,0.47,119117.,13000
377,28.6,0.26,0.5200,0.0386,0.0192,0.200,0.972,1.365,149.443,0.110,6.070,4.142,0.47,119203.,13000
378,30.4,0.27,0.5378,0.0360,0.0184,0.192,0.930,1.271,142.992,0.105,5.654,4.032,0.47,119294.,13000
379,32.2,0.29,0.5526,0.0333,0.0175,0.183,0.886,1.176,136.306,0.100,5.230,3.913,0.47,119391.,13000
380,34.0,0.31,0.5642,0.0305,0.0166,0.173,0.840,1.079,129.257,0.095,4.798,3.785,0.47,119493.,13000
381,35.8,0.32,0.5724,0.0277,0.0156,0.163,0.792,0.979,121.756,0.089,4.356,3.648,0.47,119601.,13000
382,37.6,0.34,0.5763,0.0248,0.0146,0.153,0.740,0.878,113.812,0.084,3.904,3.498,0.47,119714.,13000
383,39.4,0.36,0.5747,0.0219,0.0135,0.141,0.685,0.774,105.435,0.077,3.443,3.330,0.47,119832.,13000
384,41.2,0.37,0.5660,0.0189,0.0124,0.130,0.628,0.668,96.618,0.071,2.972,3.136,0.47,119956.,13000
385,43.0,0.39,0.5465,0.0159,0.0112,0.117,0.569,0.560,87.528,0.064,2.491,2.902,0.47,120085.,13000
386,44.7,0.40,0.5119,0.0127,0.0101,0.105,0.509,0.450,78.251,0.057,2.003,2.610,0.47,120220.,13000
387,46.5,0.42,0.4567,0.0096,0.0088,0.092,0.447,0.340,68.813,0.051,1.511,2.239,0.47,120360.,13000
388,48.3,0.44,0.3711,0.0065,0.0076,0.079,0.384,0.228,59.133,0.043,1.016,1.752,0.47,120505.,13000
389,50.1,0.45,0.2341,0.0033,0.0063,0.066,0.318,0.115,48.962,0.036,0.512,1.066,0.47,120655.,13000
390,51.9,0.47,-0.0013,0.0000,0.0049,0.051,0.249,0.000,38.347,0.028,-0.002,-0.006,0.47,120811.,13000
391,0.0,0.00,0.0000,0.0604,0.0242,0.316,1.422,2.474,235.615,0.161,11.007,4.764,0.50,127607.,14000
392,1.9,0.02,0.0399,0.0599,0.0242,0.316,1.422,2.455,235.625,0.161,10.919,4.725,0.50,127610.,14000
393,3.9,0.03,0.0792,0.0594,0.0242,0.316,1.421,2.431,235.414,0.161,10.815,4.685,0.50,127619.,14000
394,5.8,0.05,0.1177,0.0587,0.0242,0.315,1.418,2.404,234.880,0.160,10.693,4.642,0.50,127634.,14000
395,7.7,0.06,0.1554,0.0579,0.0241,0.314,1.413,2.372,234.037,0.160,10.552,4.597,0.50,127655.,14000
396,9.6,0.08,0.1923,0.0570,0.0240,0.312,1.406,2.337,232.908,0.159,10.393,4.550,0.50,127682.,14000
397,11.6,0.10,0.2282,0.0561,0.0238,0.310,1.397,2.297,231.430,0.158,10.215,4.501,0.50,127715.,14000
398,13.5,0.11,0.2632,0.0550,0.0236,0.308,1.386,2.252,229.596,0.157,10.018,4.449,0.50,127754.,14000
399,15.4,0.13,0.2971,0.0538,0.0234,0.305,1.373,2.203,227.379,0.155,9.799,4.395,0.50,127799.,14000
400,17.3,0.15,0.3299,0.0525,0.0231,0.301,1.357,2.149,224.767,0.153,9.560,4.337,0.50,127850.,14000
401,19.3,0.16,0.3614,0.0510,0.0228,0.297,1.338,2.091,221.711,0.151,9.299,4.277,0.50,127907.,14000
402,21.2,0.18,0.3917,0.0495,0.0224,0.293,1.317,2.026,218.151,0.149,9.014,4.213,0.50,127969.,14000
403,23.1,0.19,0.4205,0.0478,0.0220,0.287,1.292,1.957,214.048,0.146,8.705,4.147,0.50,128038.,14000
404,25.1,0.21,0.4479,0.0459,0.0215,0.281,1.263,1.881,209.284,0.143,8.366,4.076,0.50,128113.,14000
405,27.0,0.23,0.4731,0.0439,0.0210,0.273,1.231,1.798,203.901,0.139,7.995,3.998,0.50,128194.,14000
406,28.9,0.24,0.4962,0.0415,0.0203,0.264,1.190,1.702,197.193,0.134,7.570,3.915,0.50,128280.,14000
407,30.8,0.26,0.5168,0.0390,0.0195,0.254,1.143,1.596,189.369,0.129,7.097,3.822,0.50,128373.,14000
408,32.8,0.27,0.5350,0.0363,0.0186,0.243,1.093,1.487,181.084,0.124,6.613,3.724,0.50,128471.,14000
409,34.7,0.29,0.5503,0.0336,0.0177,0.231,1.041,1.376,172.454,0.118,6.118,3.618,0.50,128575.,14000
410,36.6,0.31,0.5627,0.0308,0.0168,0.219,0.986,1.262,163.354,0.111,5.613,3.504,0.50,128685.,14000
411,38.6,0.32,0.5716,0.0280,0.0158,0.206,0.928,1.146,153.699,0.105,5.097,3.382,0.50,128801.,14000
412,40.5,0.34,0.5762,0.0251,0.0148,0.192,0.866,1.027,143.516,0.098,4.570,3.247,0.50,128923.,14000
413,42.4,0.36,0.5755,0.0221,0.0137,0.178,0.802,0.907,132.856,0.091,4.033,3.096,0.50,129051.,14000
414,44.3,0.37,0.5676,0.0191,0.0125,0.163,0.734,0.783,121.645,0.083,3.484,2.920,0.50,129184.,14000
415,46.3,0.39,0.5487,0.0160,0.0113,0.148,0.665,0.657,110.172,0.075,2.923,2.705,0.50,129323.,14000
416,48.2,0.40,0.5144,0.0129,0.0101,0.132,0.595,0.529,98.483,0.067,2.352,2.435,0.50,129468.,14000
417,50.1,0.42,0.4595,0.0097,0.0089,0.116,0.523,0.399,86.574,0.059,1.775,2.091,0.50,129619.,14000
418,52.0,0.44,0.3738,0.0066,0.0076,0.100,0.449,0.268,74.312,0.051,1.194,1.638,0.50,129775.,14000
419,54.0,0.45,0.2362,0.0033,0.0063,0.082,0.371,0.135,61.432,0.042,0.601,0.998,0.50,129937.,14000
420,55.9,0.47,-0.0012,0.0000,0.0049,0.064,0.290,-0.001,47.997,0.033,-0.002,-0.005,0.51,130105.,14000
421,0.0,0.00,0.0000,0.0606,0.0237,0.379,1.594,2.851,282.857,0.180,12.680,4.571,0.54,136722.,15000
422,2.1,0.02,0.0410,0.0602,0.0237,0.380,1.598,2.830,283.643,0.181,12.586,4.525,0.54,136725.,15000
423,4.1,0.03,0.0811,0.0596,0.0238,0.381,1.601,2.805,284.158,0.181,12.475,4.477,0.54,136735.,15000
424,6.2,0.05,0.1203,0.0590,0.0238,0.381,1.601,2.775,284.225,0.181,12.341,4.428,0.54,136751.,15000
425,8.3,0.06,0.1586,0.0583,0.0238,0.381,1.600,2.739,283.948,0.181,12.185,4.376,0.54,136773.,15000
426,10.3,0.08,0.1958,0.0574,0.0237,0.380,1.596,2.699,283.218,0.180,12.006,4.323,0.54,136802.,15000
