,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
1164,99.6,0.54,0.6747,0.0413,0.0330,0.493,0.796,1.251,367.397,0.090,5.566,1.545,0.78,158105.,39000
1165,104.0,0.56,0.6693,0.0347,0.0292,0.435,0.703,1.051,324.555,0.079,4.674,1.469,0.79,158455.,39000
1166,108.3,0.59,0.6490,0.0279,0.0253,0.377,0.608,0.846,280.784,0.069,3.764,1.367,0.79,158818.,39000
1167,112.6,0.61,0.6016,0.0211,0.0213,0.318,0.514,0.638,237.311,0.058,2.836,1.218,0.79,159196.,39000
1168,117.0,0.63,0.5058,0.0140,0.0176,0.262,0.424,0.425,195.565,0.048,1.892,0.987,0.79,159587.,39000
1169,121.3,0.66,0.3269,0.0070,0.0141,0.210,0.340,0.213,156.950,0.038,0.946,0.615,0.79,159992.,39000
1170,125.6,0.68,-0.0055,-0.0001,0.0109,0.163,0.263,-0.003,121.300,0.030,-0.012,-0.010,0.79,160411.,39000
1171,0.0,0.00,0.0000,0.0885,0.0517,0.833,1.312,2.820,620.856,0.148,12.543,2.060,0.79,158068.,40000
1172,4.4,0.02,0.0397,0.0885,0.0524,0.843,1.328,2.820,628.282,0.150,12.542,2.036,0.79,158076.,40000
1173,8.9,0.05,0.0784,0.0885,0.0530,0.852,1.343,2.820,635.572,0.152,12.542,2.012,0.79,158100.,40000
1174,13.3,0.07,0.1162,0.0885,0.0536,0.862,1.359,2.820,643.159,0.154,12.544,1.989,0.79,158139.,40000
1175,17.8,0.09,0.1535,0.0886,0.0542,0.871,1.373,2.821,649.717,0.155,12.548,1.969,0.79,158194.,40000
1176,22.2,0.12,0.1900,0.0886,0.0547,0.880,1.387,2.822,656.378,0.157,12.554,1.950,0.79,158264.,40000
1177,26.7,0.14,0.2262,0.0886,0.0552,0.887,1.398,2.824,661.721,0.158,12.560,1.935,0.79,158350.,40000
1178,31.1,0.16,0.2622,0.0887,0.0556,0.894,1.408,2.825,666.566,0.159,12.567,1.922,0.79,158452.,40000
1179,35.5,0.19,0.2981,0.0888,0.0559,0.899,1.417,2.828,670.550,0.160,12.577,1.913,0.79,158569.,40000
1180,40.0,0.21,0.3342,0.0889,0.0561,0.903,1.423,2.831,673.644,0.161,12.591,1.906,0.80,158702.,40000
1181,44.4,0.23,0.3703,0.0890,0.0564,0.907,1.429,2.834,676.207,0.161,12.605,1.901,0.80,158850.,40000
1182,48.9,0.26,0.4105,0.0891,0.0560,0.901,1.420,2.838,672.107,0.160,12.625,1.915,0.80,159014.,40000
1183,53.3,0.28,0.4450,0.0892,0.0564,0.908,1.431,2.842,677.048,0.162,12.640,1.904,0.80,159193.,40000
1184,57.8,0.31,0.4806,0.0893,0.0567,0.912,1.437,2.845,679.943,0.162,12.654,1.898,0.80,159387.,40000
1185,62.2,0.33,0.5129,0.0888,0.0569,0.915,1.441,2.828,682.048,0.163,12.578,1.881,0.80,159597.,40000
1186,66.7,0.35,0.5410,0.0879,0.0572,0.920,1.450,2.801,686.133,0.164,12.457,1.851,0.80,159822.,40000
1187,71.1,0.38,0.5654,0.0841,0.0559,0.899,1.416,2.680,670.054,0.160,11.919,1.814,0.80,160062.,40000
1188,75.5,0.40,0.5882,0.0794,0.0539,0.867,1.365,2.530,646.225,0.154,11.255,1.776,0.80,160317.,40000
1189,80.0,0.42,0.6089,0.0737,0.0511,0.822,1.296,2.347,613.129,0.146,10.441,1.736,0.80,160587.,40000
1190,84.4,0.45,0.6277,0.0677,0.0481,0.773,1.219,2.156,576.753,0.138,9.592,1.696,0.80,160872.,40000
1191,88.9,0.47,0.6442,0.0615,0.0448,0.721,1.135,1.959,537.310,0.128,8.712,1.653,0.80,161172.,40000
1192,93.3,0.49,0.6576,0.0552,0.0414,0.666,1.049,1.759,496.412,0.119,7.825,1.607,0.80,161487.,40000
1193,97.8,0.52,0.6677,0.0488,0.0378,0.607,0.957,1.556,452.913,0.108,6.919,1.558,0.80,161817.,40000
1194,102.2,0.54,0.6718,0.0422,0.0339,0.546,0.860,1.345,406.787,0.097,5.981,1.499,0.80,162161.,40000
1195,106.6,0.56,0.6672,0.0355,0.0299,0.482,0.759,1.130,359.211,0.086,5.027,1.427,0.81,162520.,40000
1196,111.1,0.59,0.6441,0.0284,0.0259,0.416,0.656,0.905,310.462,0.074,4.026,1.322,0.81,162893.,40000
1197,115.5,0.61,0.6013,0.0214,0.0217,0.350,0.551,0.682,260.663,0.062,3.035,1.187,0.81,163280.,40000
1198,120.0,0.63,0.5085,0.0143,0.0178,0.287,0.452,0.456,214.121,0.051,2.030,0.967,0.81,163682.,40000
1199,124.4,0.66,0.3299,0.0072,0.0144,0.231,0.364,0.230,172.217,0.041,1.021,0.605,0.81,164097.,40000
1200,128.9,0.68,-0.0006,0.0000,0.0111,0.179,0.283,0.000,133.722,0.032,-0.001,-0.001,0.81,164527.,40000
1201,0.0,0.00,0.0000,0.0886,0.0495,0.858,1.319,2.965,639.880,0.149,13.190,2.102,0.81,162020.,41000
