,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
121,0.0,0.00,0.0000,0.0670,0.0297,0.004,0.042,0.100,2.991,0.005,0.443,15.102,0.14,25361.,6000
122,0.6,0.02,0.0365,0.0669,0.0304,0.004,0.043,0.099,3.065,0.005,0.442,14.707,0.14,25362.,6000
123,1.1,0.03,0.0732,0.0666,0.0302,0.004,0.043,0.099,3.044,0.005,0.440,14.742,0.14,25364.,6000
124,1.7,0.05,0.1108,0.0657,0.0295,0.004,0.042,0.098,2.975,0.005,0.434,14.880,0.14,25367.,6000
125,2.3,0.07,0.1445,0.0651,0.0299,0.004,0.042,0.097,3.016,0.005,0.430,14.549,0.14,25371.,6000
126,2.8,0.08,0.1821,0.0634,0.0289,0.004,0.041,0.094,2.914,0.005,0.419,14.673,0.14,25377.,6000
127,3.4,0.10,0.2154,0.0620,0.0287,0.004,0.041,0.092,2.890,0.005,0.410,14.461,0.14,25384.,6000
128,4.0,0.12,0.2481,0.0602,0.0282,0.004,0.040,0.089,2.843,0.005,0.398,14.275,0.14,25392.,6000
129,4.5,0.13,0.2814,0.0580,0.0274,0.004,0.039,0.086,2.760,0.004,0.384,14.170,0.14,25402.,6000
130,5.1,0.15,0.3100,0.0562,0.0271,0.004,0.038,0.084,2.730,0.004,0.371,13.875,0.14,25412.,6000
131,5.7,0.17,0.3410,0.0536,0.0261,0.004,0.037,0.080,2.632,0.004,0.355,13.737,0.14,25424.,6000
132,6.2,0.18,0.3679,0.0511,0.0254,0.003,0.036,0.076,2.557,0.004,0.338,13.471,0.14,25437.,6000
133,6.8,0.20,0.3854,0.0488,0.0252,0.003,0.036,0.073,2.543,0.004,0.323,12.937,0.14,25452.,6000
134,7.4,0.22,0.4155,0.0460,0.0239,0.003,0.034,0.068,2.410,0.004,0.304,12.874,0.14,25468.,6000
135,7.9,0.23,0.4372,0.0434,0.0231,0.003,0.033,0.064,2.325,0.004,0.287,12.579,0.14,25485.,6000
136,8.5,0.25,0.4551,0.0409,0.0224,0.003,0.032,0.061,2.256,0.004,0.270,12.219,0.14,25503.,6000
137,9.1,0.27,0.4704,0.0384,0.0217,0.003,0.031,0.057,2.187,0.003,0.254,11.843,0.14,25522.,6000
138,9.6,0.28,0.4847,0.0360,0.0210,0.003,0.030,0.053,2.111,0.003,0.238,11.485,0.14,25543.,6000
139,10.2,0.30,0.4933,0.0331,0.0200,0.003,0.028,0.049,2.019,0.003,0.219,11.038,0.14,25565.,6000
140,10.8,0.32,0.4978,0.0303,0.0192,0.003,0.027,0.045,1.938,0.003,0.201,10.554,0.14,25588.,6000
141,11.3,0.33,0.4995,0.0275,0.0183,0.002,0.026,0.041,1.845,0.003,0.182,10.059,0.14,25612.,6000
142,11.9,0.35,0.4986,0.0246,0.0172,0.002,0.024,0.037,1.737,0.003,0.163,9.564,0.14,25638.,6000
143,12.5,0.37,0.4991,0.0218,0.0160,0.002,0.023,0.032,1.607,0.003,0.144,9.137,0.14,25665.,6000
144,13.0,0.38,0.4819,0.0185,0.0147,0.002,0.021,0.027,1.477,0.002,0.122,8.438,0.14,25693.,6000
145,13.6,0.40,0.4691,0.0161,0.0137,0.002,0.019,0.024,1.380,0.002,0.107,7.872,0.14,25722.,6000
146,14.2,0.42,0.4224,0.0124,0.0122,0.002,0.017,0.018,1.230,0.002,0.082,6.806,0.14,25752.,6000
147,14.7,0.43,0.3654,0.0093,0.0109,0.001,0.016,0.014,1.102,0.002,0.061,5.660,0.14,25784.,6000
148,15.3,0.45,0.3051,0.0070,0.0102,0.001,0.015,0.010,1.031,0.002,0.046,4.552,0.14,25817.,6000
149,15.9,0.47,0.1737,0.0033,0.0088,0.001,0.013,0.005,0.888,0.001,0.022,2.499,0.14,25851.,6000
150,16.4,0.48,0.0049,0.0001,0.0077,0.001,0.011,0.000,0.774,0.001,0.001,0.068,0.14,25886.,6000
151,0.0,0.00,0.0000,0.0672,0.0294,0.006,0.057,0.136,4.699,0.006,0.605,13.121,0.17,29588.,7000
152,0.7,0.02,0.0378,0.0671,0.0295,0.006,0.057,0.136,4.714,0.006,0.604,13.059,0.17,29589.,7000
153,1.3,0.03,0.0751,0.0669,0.0295,0.006,0.057,0.135,4.723,0.006,0.602,12.995,0.17,29591.,7000
154,2.0,0.05,0.1120,0.0664,0.0295,0.006,0.057,0.134,4.715,0.006,0.597,12.914,0.17,29595.,7000
155,2.6,0.07,0.1482,0.0655,0.0293,0.006,0.057,0.133,4.691,0.006,0.590,12.818,0.17,29600.,7000
156,3.3,0.08,0.1837,0.0645,0.0291,0.006,0.056,0.130,4.655,0.006,0.580,12.707,0.17,29606.,7000
157,4.0,0.10,0.2183,0.0631,0.0288,0.006,0.056,0.128,4.605,0.006,0.568,12.583,0.17,29615.,7000
158,4.6,0.12,0.2519,0.0616,0.0284,0.006,0.055,0.125,4.537,0.006,0.554,12.449,0.17,29624.,7000
159,5.3,0.13,0.2845,0.0599,0.0279,0.006,0.054,0.121,4.466,0.006,0.539,12.301,0.17,29635.,7000
160,5.9,0.15,0.3157,0.0577,0.0273,0.006,0.053,0.117,4.362,0.006,0.519,12.132,0.17,29647.,7000
161,6.6,0.17,0.3451,0.0554,0.0266,0.006,0.051,0.112,4.256,0.006,0.498,11.938,0.17,29661.,7000
162,7.3,0.18,0.3723,0.0528,0.0259,0.006,0.050,0.107,4.137,0.006,0.475,11.707,0.17,29677.,7000
163,7.9,0.20,0.3975,0.0502,0.0251,0.005,0.049,0.102,4.023,0.005,0.452,11.459,0.17,29693.,7000
164,8.6,0.22,0.4201,0.0475,0.0244,0.005,0.047,0.096,3.897,0.005,0.427,11.179,0.17,29712.,7000
165,9.2,0.23,0.4410,0.0452,0.0238,0.005,0.046,0.091,3.806,0.005,0.407,10.896,0.17,29731.,7000
166,9.9,0.25,0.4597,0.0428,0.0232,0.005,0.045,0.087,3.705,0.005,0.385,10.601,0.17,29753.,7000
167,10.6,0.27,0.4752,0.0398,0.0222,0.005,0.043,0.081,3.556,0.005,0.358,10.273,0.17,29775.,7000
168,11.2,0.28,0.4894,0.0373,0.0215,0.005,0.042,0.076,3.441,0.005,0.336,9.958,0.17,29799.,7000
169,11.9,0.30,0.5009,0.0346,0.0206,0.004,0.040,0.070,3.300,0.005,0.312,9.626,0.17,29825.,7000
170,12.5,0.32,0.5076,0.0315,0.0196,0.004,0.038,0.064,3.128,0.004,0.283,9.241,0.17,29851.,7000
171,13.2,0.33,0.5119,0.0285,0.0185,0.004,0.036,0.058,2.956,0.004,0.257,8.854,0.17,29880.,7000
172,13.8,0.35,0.5133,0.0255,0.0173,0.004,0.033,0.052,2.764,0.004,0.229,8.455,0.17,29909.,7000
173,14.5,0.36,0.5071,0.0225,0.0162,0.003,0.031,0.045,2.588,0.004,0.202,7.973,0.17,29941.,7000
174,15.2,0.38,0.5008,0.0199,0.0151,0.003,0.029,0.040,2.420,0.003,0.179,7.532,0.17,29973.,7000
175,15.8,0.40,0.4753,0.0164,0.0137,0.003,0.026,0.033,2.190,0.003,0.147,6.850,0.17,30007.,7000
176,16.5,0.41,0.4372,0.0130,0.0123,0.003,0.024,0.026,1.972,0.003,0.117,6.049,0.17,30043.,7000
177,17.1,0.43,0.3802,0.0098,0.0112,0.002,0.022,0.020,1.787,0.002,0.089,5.058,0.17,30079.,7000
178,17.8,0.45,0.2951,0.0066,0.0099,0.002,0.019,0.013,1.591,0.002,0.059,3.780,0.17,30117.,7000
179,18.5,0.46,0.1996,0.0039,0.0091,0.002,0.018,0.008,1.461,0.002,0.035,2.466,0.17,30157.,7000
