,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
128,10.7,0.25,0.3694,0.1961,0.1334,0.079,0.998,1.025,59.049,0.113,4.558,7.871,0.18,53174.,5000
129,12.2,0.29,0.4092,0.1916,0.1344,0.080,1.006,1.001,59.492,0.114,4.452,7.631,0.18,53266.,5000
130,13.8,0.32,0.4461,0.1864,0.1349,0.080,1.010,0.974,59.747,0.114,4.332,7.394,0.18,53369.,5000
131,15.3,0.36,0.4799,0.1807,0.1351,0.080,1.011,0.944,59.813,0.114,4.199,7.159,0.18,53484.,5000
132,16.8,0.39,0.5107,0.1743,0.1347,0.080,1.008,0.911,59.636,0.114,4.051,6.926,0.18,53612.,5000
133,18.3,0.43,0.5389,0.1671,0.1335,0.079,0.999,0.873,59.116,0.113,3.884,6.699,0.18,53750.,5000
134,19.9,0.47,0.5645,0.1590,0.1314,0.078,0.984,0.831,58.187,0.111,3.696,6.478,0.18,53901.,5000
135,21.4,0.50,0.5874,0.1507,0.1289,0.077,0.965,0.787,57.068,0.109,3.503,6.258,0.18,54063.,5000
136,22.9,0.54,0.6074,0.1421,0.1259,0.075,0.943,0.743,55.765,0.106,3.303,6.040,0.18,54237.,5000
137,24.5,0.57,0.6245,0.1333,0.1226,0.073,0.917,0.697,54.271,0.104,3.099,5.823,0.18,54422.,5000
138,26.0,0.61,0.6393,0.1243,0.1186,0.070,0.888,0.650,52.521,0.100,2.889,5.610,0.18,54618.,5000
139,27.5,0.65,0.6542,0.1151,0.1137,0.067,0.851,0.602,50.333,0.096,2.676,5.422,0.18,54825.,5000
140,29.1,0.68,0.6665,0.1057,0.1082,0.064,0.810,0.553,47.893,0.091,2.458,5.233,0.18,55044.,5000
141,30.6,0.72,0.6756,0.0961,0.1021,0.061,0.764,0.502,45.211,0.086,2.234,5.039,0.18,55273.,5000
142,32.1,0.75,0.6811,0.0863,0.0955,0.057,0.715,0.451,42.274,0.081,2.006,4.838,0.18,55513.,5000
143,33.6,0.79,0.6820,0.0763,0.0883,0.052,0.661,0.398,39.077,0.075,1.772,4.625,0.18,55763.,5000
144,35.2,0.83,0.6774,0.0660,0.0804,0.048,0.602,0.345,35.612,0.068,1.534,4.393,0.18,56024.,5000
145,36.7,0.86,0.6651,0.0556,0.0719,0.043,0.539,0.290,31.857,0.061,1.291,4.134,0.19,56296.,5000
146,38.2,0.90,0.6406,0.0449,0.0629,0.037,0.471,0.235,27.834,0.053,1.043,3.823,0.19,56577.,5000
147,39.8,0.93,0.5953,0.0340,0.0533,0.032,0.399,0.178,23.585,0.045,0.790,3.415,0.19,56869.,5000
148,41.3,0.97,0.5123,0.0229,0.0432,0.026,0.324,0.119,19.141,0.037,0.531,2.830,0.19,57170.,5000
149,42.8,1.00,0.3538,0.0115,0.0326,0.019,0.244,0.060,14.447,0.028,0.267,1.885,0.19,57481.,5000
150,44.3,1.04,-0.0017,0.0000,0.0215,0.013,0.161,0.000,9.519,0.018,-0.001,-0.009,0.19,57802.,5000
151,0.0,0.00,0.0000,0.2124,0.1165,0.119,1.255,1.598,89.109,0.142,7.109,8.135,0.21,63450.,6000
152,1.8,0.04,0.0635,0.2115,0.1196,0.123,1.290,1.592,91.543,0.146,7.079,7.886,0.21,63457.,6000
153,3.7,0.07,0.1231,0.2103,0.1227,0.126,1.323,1.582,93.903,0.149,7.038,7.643,0.21,63479.,6000
154,5.5,0.11,0.1790,0.2086,0.1256,0.129,1.354,1.570,96.095,0.153,6.981,7.408,0.21,63516.,6000
155,7.3,0.14,0.2314,0.2063,0.1282,0.131,1.381,1.552,98.054,0.156,6.905,7.181,0.21,63568.,6000
